--bus section
bus id,v(p.u.),theta(deg),bcs(MVAR at v=1p.u)
1,1.0272072461,14.6727898670,0.0000000000
2,1.0123112913,-6.8247220726,0.0000000000
3,1.0205251867,-6.8637353678,0.0000000000
4,1.0541620310,-12.1557116327,0.0000000000
5,1.0582678427,-11.4096355516,0.0000000000
6,1.0564290168,-12.1023093990,0.0000000000
7,1.0710171076,-2.0455144044,0.0000000000
8,1.0683989224,-1.4168957541,0.0000000000
9,1.0800426381,-3.6436421633,0.0000000000
10,1.0815971591,22.7397136008,0.0000000000
11,1.0761114065,22.0670712423,0.0000000000
12,1.0826798363,22.8334076606,0.0000000000
13,1.0509844966,-12.9090551872,0.0000000000
14,1.0519970407,-13.4251235660,0.0000000000
15,1.0629946890,-11.2173591541,0.0000000000
16,1.0603619909,-7.4058577744,0.0000000000
17,1.0386976851,-14.1945469137,0.0000000000
18,1.0641815558,-4.8676687319,0.0000000000
19,1.0624085295,-6.6502459290,0.0000000000
20,1.0789514208,29.7231471352,0.0000000000
21,1.0832551357,29.5050180817,0.0000000000
22,1.0793249251,29.7283415446,0.0000000000
23,1.0804860627,28.8747387417,0.0000000000
24,1.0509189760,-12.4173740024,0.0000000000
25,1.0282713674,6.4299770052,0.0000000000
26,1.0531190238,4.3083255056,0.0000000000
27,1.0277106868,6.3761411976,0.0000000000
28,1.0424081375,2.0027397789,0.0000000000
29,1.0425513536,2.0064661770,0.0000000000
30,1.0452867719,2.6288586796,0.0000000000
31,1.0760887869,30.2829344101,0.0000000000
32,1.0114471434,-6.7043690592,0.0000000000
33,1.0087721507,-6.3041668468,0.0000000000
34,1.0196754668,-4.7639690405,0.0000000000
35,1.0374707981,-7.3679675869,0.0000000000
36,1.0121155713,-6.9004307889,0.0000000000
37,1.0274716075,-8.4367346353,0.0000000000
38,1.0261370667,-6.9953031413,0.0000000000
39,1.0305497960,-5.9462351567,0.0000000000
40,1.0421776524,-8.2779131155,0.0000000000
41,1.0043934684,-3.7835840993,0.0000000000
42,1.0660058591,-7.1722025658,0.0000000000
43,1.0089601422,-3.5203436751,0.0000000000
44,1.0516444664,-8.1502452800,0.0000000000
45,1.0253245236,-7.3667993348,0.0000000000
46,1.0397704012,-6.8818472406,0.0000000000
47,1.0340243948,-8.6910426460,0.0000000000
48,1.0508283209,-5.8854005892,0.0000000000
49,1.0330361973,-8.1808117456,0.0000000000
50,1.0409518971,-6.8273834082,0.0000000000
51,1.0527154342,-5.5587287096,0.0000000000
52,1.0309657330,-1.5114149475,0.0000000000
53,1.0238654746,-5.4705685632,0.0000000000
54,1.0334938733,-1.0930562090,0.0000000000
55,1.0572796189,-13.2204698110,0.0000000000
56,1.0411477505,-13.9131326842,0.0000000000
57,1.0803069945,-0.1785990371,0.0000000000
58,1.0700242035,21.8642781255,0.0000000000
59,1.0805067806,22.6004719748,27.7878735225
60,1.0604881251,13.2895235045,0.0000000000
61,1.0650516065,-11.2228515186,0.0000000000
62,1.0679598205,10.2527210990,0.0000000000
63,1.0951181366,1.8298061430,41.1818923286
64,1.0980305088,5.9898330301,0.0000000000
65,1.0588671770,-13.5883382558,0.0000000000
66,1.0935161685,-0.6870370403,30.8950211696
67,1.0660718810,29.6884517357,0.0000000000
68,1.0772838335,8.1195031565,0.0000000000
69,1.0294916611,4.2237579674,0.0000000000
70,1.0737304022,-3.4008408149,0.0000000000
71,1.0535785360,-12.8908570088,0.0000000000
72,1.0570009896,-13.4280714181,0.0000000000
73,1.0522899827,-12.6472115946,0.0000000000
74,1.0573943238,-9.4055036440,0.0000000000
75,1.0598074905,-0.6922455307,0.0000000000
76,1.0760352755,24.8942845216,0.0000000000
77,1.0708220089,27.8697663343,0.0000000000
78,1.0739447713,28.2484651908,0.0000000000
79,1.0745130803,28.3992220833,0.0000000000
80,1.0692497121,5.9316011210,0.0000000000
81,1.0678851507,-6.1173399340,0.0000000000
82,1.0506689691,-8.1107630186,0.0000000000
83,1.0661249545,-6.5481337791,0.0000000000
84,1.0674322086,-6.9291866072,0.0000000000
85,1.0592704806,1.2405553845,0.0000000000
86,1.0645911928,25.1497117820,0.0000000000
87,1.0672036847,26.2253016788,0.0000000000
88,1.0614293461,23.5446822845,0.0000000000
89,1.0560110515,23.5710188684,0.0000000000
90,1.0741317504,28.4695295060,0.0000000000
91,1.0696879266,26.4355519458,0.0000000000
92,1.0738020614,28.4286120937,0.0000000000
93,1.0804633889,-11.0735239795,0.0000000000
94,1.0708011030,27.6347746552,0.0000000000
95,1.0680615636,21.5072144305,0.0000000000
96,1.0666512866,-8.2729360329,0.0000000000
97,1.0694601856,25.7109728439,0.0000000000
98,1.0858990303,24.3335892674,0.0000000000
99,1.0688810733,25.6683777897,0.0000000000
100,1.0674892292,21.7645727163,0.0000000000
101,1.0693592861,22.1479347719,0.0000000000
102,1.0365864246,2.0065855822,0.0000000000
103,1.0465725472,0.8038110487,0.0000000000
104,1.0825076326,-2.4516962745,0.0000000000
105,1.0689747037,21.6050519495,0.0000000000
